iter	Passed	Remaining
0	1	182
1	3	163
2	4	156
3	5	143
4	7	142
5	8	139
6	10	137
7	11	137
8	13	135
9	14	133
10	17	138
11	19	140
12	20	138
13	22	135
14	23	133
15	25	131
16	26	129
17	28	127
18	29	125
19	30	123
20	32	121
21	33	120
22	35	118
23	36	116
24	38	115
25	39	112
26	40	110
27	42	108
28	43	107
29	45	105
30	46	103
31	48	102
32	49	100
33	50	98
34	52	97
35	53	95
36	55	93
37	56	92
38	58	90
39	59	89
40	60	87
41	61	84
42	62	83
43	64	82
44	66	80
45	67	79
46	69	77
47	70	76
48	71	74
49	73	73
50	74	71
51	76	70
52	77	69
53	79	67
54	80	65
55	81	64
56	83	62
57	86	62
58	89	62
59	91	60
60	92	59
61	94	57
62	95	56
63	97	54
64	99	53
65	101	52
66	102	50
67	104	49
68	106	47
69	107	46
70	109	44
71	110	43
72	112	41
73	113	39
74	115	38
75	117	36
76	118	35
77	120	33
78	121	32
79	123	30
80	124	29
81	127	27
82	129	26
83	130	24
84	132	23
85	133	21
86	134	20
87	136	18
88	137	17
89	139	15
90	140	13
91	141	12
92	143	10
93	144	9
94	146	7
95	147	6
96	148	4
97	150	3
98	151	1
99	153	0
