iter	Passed	Remaining
0	159	158847
1	165	82665
2	167	55793
3	169	42208
4	171	34048
5	172	28600
6	174	24714
7	175	21773
8	181	20021
9	185	18351
10	187	16821
11	189	15564
12	190	14470
13	195	13787
14	197	12970
15	198	12228
16	200	11580
17	201	11015
18	203	10499
19	204	10042
20	213	9961
21	215	9569
22	216	9201
23	217	8858
24	219	8554
25	227	8515
26	229	8261
27	231	8028
28	232	7794
29	234	7574
30	239	7496
31	241	7320
32	244	7154
33	245	6979
34	246	6809
35	248	6651
36	249	6499
37	254	6441
38	255	6307
39	257	6174
40	258	6055
41	260	5934
42	261	5818
43	262	5707
44	263	5600
45	269	5579
46	270	5487
47	272	5399
48	274	5320
49	278	5289
50	284	5285
51	285	5210
52	287	5137
53	289	5073
54	290	4997
55	292	4923
56	293	4852
57	301	4901
58	303	4834
59	304	4774
60	306	4712
61	307	4650
62	308	4588
63	312	4563
64	313	4509
65	315	4459
66	316	4410
67	318	4365
68	320	4318
69	321	4269
70	328	4297
71	330	4253
72	331	4209
73	332	4164
74	334	4121
75	335	4079
76	336	4036
77	341	4035
78	343	4003
79	344	3964
80	346	3926
81	347	3888
82	348	3845
83	349	3808
84	350	3772
85	351	3739
86	359	3770
87	361	3742
88	362	3713
89	364	3689
90	366	3660
91	373	3682
92	374	3654
93	376	3626
94	377	3597
95	378	3567
96	380	3538
97	381	3510
98	388	3537
99	391	3520
100	394	3508
101	404	3558
102	405	3533
103	407	3507
104	409	3486
105	410	3463
106	417	3485
107	420	3474
108	422	3451
109	423	3429
110	426	3418
111	436	3460
112	438	3441
113	441	3434
114	450	3466
115	452	3445
116	453	3421
117	469	3507
118	470	3486
119	472	3466
120	474	3446
121	479	3453
122	482	3439
123	484	3420
124	486	3406
125	488	3389
126	489	3367
127	520	3544
128	521	3523
129	527	3532
130	531	3528
131	533	3508
132	535	3488
133	536	3469
134	546	3502
135	548	3485
136	550	3466
137	551	3446
138	560	3469
139	578	3552
140	580	3534
141	581	3513
142	588	3529
143	590	3511
144	592	3494
145	594	3476
146	596	3459
147	597	3440
148	599	3423
149	603	3419
150	605	3406
151	608	3397
152	610	3380
153	612	3362
154	640	3491
155	642	3474
156	644	3459
157	645	3442
158	652	3451
159	654	3435
160	656	3422
161	659	3410
162	660	3393
163	663	3380
164	670	3395
165	672	3378
166	673	3361
167	675	3344
168	676	3328
169	688	3359
170	689	3344
171	691	3328
172	692	3312
173	700	3326
174	703	3318
175	705	3302
176	707	3287
177	708	3272
178	710	3259
179	711	3243
180	713	3228
181	714	3211
182	716	3198
183	717	3183
184	727	3202
185	728	3188
186	729	3173
187	731	3158
188	732	3143
189	733	3128
190	739	3131
191	740	3117
192	743	3107
193	744	3093
194	745	3079
195	747	3065
196	748	3051
197	757	3066
198	759	3056
199	761	3044
200	762	3032
201	764	3019
